TadID,Block,Clutch,AccGraph1,AccGraph2,AccTemp,AccInc,PerfTemp,PerfInc,InitialGosner,ExposureGosner,FinalGosner,InitialMass,ExposureMass,FinalMass,Cysts1,Cysts7,Cysts14,PropCleared1,PropCleared2,PropEncysted,LeftoverCerc,AdjPropEncysted
02D,A,C,13-19?C,13-16?C,13,Inc2,22,Inc4,27,27,27,134,135,175,21,20,2,0.047619048,0.9,1.05,0,1
03B,A,C,22-28?C,28?C,28,Inc3,16,Inc6,27,26,NA,145,101,NA,21,21,0,0,1,1.05,0,1
19B,D,A,22-28?C,19-25?C,22,Inc19,16,Inc20,26,28,28,130,325,364,21,15,0,0.285714286,1,1.05,0,1
24B,D,B,13-19?C,13-16?C,13,Inc24,16,Inc20,27,27,27,167,204,240,21,13,0,0.380952381,1,1.05,0,1
24D,D,A,13-19?C,13-16?C,13,Inc24,22,Inc19,27,26,28,138,164,319,21,19,7,0.095238095,0.631578947,1.05,1,1
31C,F,C,22-28?C,19-25?C,25,Inc31,19,Inc32,25,26,26,94,136,126,21,16,7,0.238095238,0.5625,1.05,1,1
01C,A,A,22-28?C,19-25?C,25,Inc1,19,Inc5,25,26,NA,78,77,NA,20,17,NA,0.15,NA,1,0,1
10E,B,C,13-19?C,19-25?C,19,Inc10,25,Inc9,27,29,31,179,249,615,20,0,0,1,NA,1,0,1
10F,B,B,13-19?C,19-25?C,19,Inc10,28,Inc8,26,27,27,195,247,336,20,7,7,0.65,0,1,0,1
26E,E,A,13-19?C,19-25?C,19,Inc26,25,Inc27,25,26,26,98,84,106,20,7,7,0.65,0,1,0,1
27C,E,A,22-28?C,19-25?C,25,Inc27,19,Inc26,26,25,27,260,155,233,20,8,6,0.6,0.25,1,0,1
30D,E,A,13-19?C,13-16?C,13,Inc30,22,Inc29,25,26,26,91,92,200,20,2,1,0.9,0.5,1,0,1
32C,F,A,13-19?C,19-25?C,19,Inc32,19,Inc32,26,26,26,77,128,139,20,2,0,0.9,1,1,0,1
36C,F,C,13-19?C,13-16?C,13,Inc36,19,Inc32,26,26,26,89,128,204,20,3,1,0.85,0.666666667,1,0,1
